ticker,base_year,year_index,year,fcf_forecast_m,pv_fcf_m,discount_factor,growth_rate,discount_rate,terminal_growth_rate,fcf_base_m,terminal_value_m
AVGO,2025,1,2026,35944.27072210635,32885.88355178989,0.9149130832570906,0.3355231746342554,0.093,0.03,26914.0,7943084.970425775
AVGO,2025,2,2027,48004.406544700585,40182.854164445445,0.837065949914996,0.3355231746342554,0.093,0.03,26914.0,7943084.970425775
AVGO,2025,3,2028,64110.99742501195,49098.93225943777,0.7658425891262544,0.3355231746342554,0.093,0.03,26914.0,7943084.970425775
AVGO,2025,4,2029,85621.72281002052,59993.37775139669,0.7006794045070945,0.3355231746342554,0.093,0.03,26914.0,7943084.970425775
AVGO,2025,5,2030,114349.79506489284,73305.16588433433,0.6410607543523281,0.3355231746342554,0.093,0.03,26914.0,7943084.970425775
AVGO,2025,6,2031,152716.80132384217,89570.67507679496,0.5865148713196049,0.3355231746342554,0.093,0.03,26914.0,7943084.970425775
AVGO,2025,7,2032,203956.82732400653,109445.29948096482,0.5366101292951554,0.3355231746342554,0.093,0.03,26914.0,7943084.970425775
AVGO,2025,8,2033,272389.0695160878,133729.8571012031,0.4909516279004167,0.3355231746342554,0.093,0.03,26914.0,7943084.970425775
AVGO,2025,9,2034,363781.91485579644,163402.85754728637,0.44917806761245804,0.3355231746342554,0.093,0.03,26914.0,7943084.970425775
AVGO,2025,10,2035,485839.1778027416,199659.9296028005,0.41095889077077596,0.3355231746342554,0.093,0.03,26914.0,7943084.970425775
