ticker,base_year,year_index,year,fcf_forecast_m,pv_fcf_m,discount_factor,growth_rate,discount_rate,terminal_growth_rate,fcf_base_m,terminal_value_m
AZO,2025,1,2026,1936.5786275506216,1771.8011231021242,0.9149130832570906,0.08183915107180763,0.093,0.03,1790.08,64268.18836926524
AZO,2025,2,2027,2095.066578413171,1753.7088955945817,0.837065949914996,0.08183915107180763,0.093,0.03,1790.08,64268.18836926524
AZO,2025,3,2028,2266.5250486294217,1735.801411561866,0.7658425891262544,0.08183915107180763,0.093,0.03,1790.08,64268.18836926524
AZO,2025,4,2029,2452.0155344922414,1718.076784550169,0.7006794045070945,0.08183915107180763,0.093,0.03,1790.08,64268.18836926524
AZO,2025,5,2030,2652.6864042499715,1700.5331473686515,0.6410607543523281,0.08183915107180763,0.093,0.03,1790.08,64268.18836926524
AZO,2025,6,2031,2869.780007633515,1683.1686518927459,0.5865148713196049,0.08183915107180763,0.093,0.03,1790.08,64268.18836926524
AZO,2025,7,2032,3104.640367221088,1665.9814688694669,0.5366101292951554,0.08183915107180763,0.093,0.03,1790.08,64268.18836926524
AZO,2025,8,2033,3358.7214992577274,1648.9697877247095,0.4909516279004167,0.08183915107180763,0.093,0.03,1790.08,64268.18836926524
AZO,2025,9,2034,3633.596415443609,1632.1318163725148,0.44917806761245804,0.08183915107180763,0.093,0.03,1790.08,64268.18836926524
AZO,2025,10,2035,3930.9668614210777,1615.4657810262847,0.41095889077077596,0.08183915107180763,0.093,0.03,1790.08,64268.18836926524
