ticker,base_year,year_index,year,fcf_forecast_m,pv_fcf_m,discount_factor,growth_rate,discount_rate,terminal_growth_rate,fcf_base_m,terminal_value_m
MSFT,2025,1,2026,78737.24845394952,72037.73875018254,0.9149130832570906,0.09951332133260977,0.093,0.03,71611.0,3023300.8669315088
MSFT,2025,2,2027,86572.65356019294,72467.02048902477,0.837065949914996,0.09951332133260977,0.093,0.03,71611.0,3023300.8669315088
MSFT,2025,3,2028,95187.78585254512,72898.8603705086,0.7658425891262544,0.09951332133260977,0.093,0.03,71611.0,3023300.8669315088
MSFT,2025,4,2029,104660.23857302908,73333.27363892047,0.7006794045070945,0.09951332133260977,0.093,0.03,71611.0,3023300.8669315088
MSFT,2025,5,2030,115075.32652489454,73770.27562938936,0.6410607543523281,0.09951332133260977,0.093,0.03,71611.0,3023300.8669315088
MSFT,2025,6,2031,126526.85447082137,74209.88176842817,0.5865148713196049,0.09951332133260977,0.093,0.03,71611.0,3023300.8669315088
MSFT,2025,7,2032,139117.9619969806,74652.10757447827,0.5366101292951554,0.09951332133260977,0.093,0.03,71611.0,3023300.8669315088
MSFT,2025,8,2033,152962.05245232393,75096.96865845736,0.4909516279004167,0.09951332133260977,0.093,0.03,71611.0,3023300.8669315088
MSFT,2025,9,2034,168183.81432970756,75544.48072431047,0.44917806761245804,0.09951332133260977,0.093,0.03,71611.0,3023300.8669315088
MSFT,2025,10,2035,184920.34428804374,75994.65956956445,0.41095889077077596,0.09951332133260977,0.093,0.03,71611.0,3023300.8669315088
