ticker,base_year,year_index,year,fcf_forecast_m,pv_fcf_m,discount_factor,growth_rate,discount_rate,terminal_growth_rate,fcf_base_m,terminal_value_m
TSLA,2025,1,2026,8734.22398558698,7991.0557965114185,0.9149130832570906,0.40421607485321215,0.093,0.03,6220.0,3031282.8565077772
TSLA,2025,2,2027,12264.737721929727,10266.394331665391,0.837065949914996,0.40421607485321215,0.093,0.03,6220.0,3031282.8565077772
TSLA,2025,3,2028,17222.34186299229,13189.602883171494,0.7658425891262544,0.40421607485321215,0.093,0.03,6220.0,3031282.8565077772
TSLA,2025,4,2029,24183.88929063119,16945.153146824963,0.7006794045070945,0.40421607485321215,0.093,0.03,6220.0,3031282.8565077772
TSLA,2025,5,2030,33959.40609437476,21770.04248821693,0.6410607543523281,0.40421607485321215,0.093,0.03,6220.0,3031282.8565077772
TSLA,2025,6,2031,47686.34393018918,27968.749873917328,0.5865148713196049,0.40421607485321215,0.093,0.03,6220.0,3031282.8565077772
TSLA,2025,7,2032,66961.93069775055,35932.45028957316,0.5366101292951554,0.40421607485321215,0.093,0.03,6220.0,3031282.8565077772
TSLA,2025,8,2033,94029.0194889881,46163.700187998715,0.4909516279004167,0.40421607485321215,0.093,0.03,6220.0,3031282.8565077772
TSLA,2025,9,2034,132037.06066912305,59308.15176458558,0.44917806761245804,0.40421607485321215,0.093,0.03,6220.0,3031282.8565077772
TSLA,2025,10,2035,185408.5630679514,76195.29741780878,0.41095889077077596,0.40421607485321215,0.093,0.03,6220.0,3031282.8565077772
